name,sample,OH_over_solar,DTG,DTG_err_low,DTG_err_high,DTM,DTM_err_low,DTM_err_high,OH_err_low,OH_err_high
,HRS_LTG,0.5768465240222316,0.007796389856964287,0.0045801511053344835,0.0021599846294048375,0.5012151773755584,0.6329935764363585,0.3210596036085621,0.04909760261162547,0.04909760261162547
,HRS_LTG,0.5824151155004794,0.0025834264629727758,0.0007517406706509387,0.0011373120345196113,0.24800315265206901,0.1170735488587842,0.1662944827563917,0.04957156662132272,0.04957156662132272
,HRS_LTG,0.5834942261932934,0.008453803603555143,0.007338983518494938,0.004184588734169968,0.5185809611854383,0.9792793269644765,0.5773430562520556,0.049663413838499836,0.049663413838499836
,HRS_LTG,0.5860148647658966,0.0050273264464806115,0.0010514238613998673,0.001363273281385395,0.38943669430191685,0.1665436997808358,0.20610895977037164,0.049877954978667025,0.049877954978667025
,HRS_LTG,0.5899127361869222,0.002304458463340452,0.00040388803775093956,0.00047341031949387456,0.2250714822334849,0.07006057579108835,0.07882279190109578,0.050209717647056354,0.050209717647056354
NGC4202,HIGH,0.5977833040117403,0.0011228488925745118,0.00017045796511708678,0.00019980463768356225,0.12254116397998123,0.03534001031253301,0.04150585356697513,0.06897448333582219,0.08124733404827915
,HRS_LTG,0.5985141278600951,0.002705848845368023,0.0005685227201327248,0.0007229696257414603,0.2515696441781166,0.09203585827977576,0.1112217734899241,0.050941814821416916,0.050941814821416916
SDSSJ084258.35+003838.5,HIGH,0.6000135985074283,0.0017483117617866195,0.0008429262162566423,0.001662990243367528,0.17806311680388073,0.12411593936568478,0.22866378507316518,0.06626951991666968,0.07614706232856074
,HRS_LTG,0.6004439889818197,0.005343816528396872,0.0017497982944762506,0.0037937284353440856,0.3982042381473935,0.25055989393396716,0.50364772397989,0.051106072644779316,0.051106072644779316
,HRS_LTG,0.6085744581747861,0.002961654754940581,0.0009325839719847664,0.0017853444754284292,0.2656911945199858,0.1365476204234128,0.24072923215943723,0.051798087814947776,0.051798087814947776
,HRS_LTG,0.6109672791757901,0.009937658182629266,0.0032108669892064153,0.005362719171650642,0.5473735156133059,0.4373238305508199,0.6991856606360309,0.052001749915238975,0.052001749915238975
NGC5690,HIGH,0.6131410871834192,0.005037006575469624,0.001664115806299076,0.00280735133244284,0.3791854697367973,0.22722075278277243,0.3680397676378474,0.04112050271854462,0.04466230506769881
,HRS_LTG,0.6146976388653705,0.007120358060583358,0.0022251682753542078,0.00473273885266942,0.4627202332142121,0.3085243644472455,0.6118222175087288,0.052319255022768046,0.052319255022768046
,HRS_LTG,0.6154120743202001,0.013955506642714258,0.0059513305451346955,0.003530384897639036,0.6276990412295563,0.7724206963437971,0.4799403137961544,0.052380063342818736,0.052380063342818736
,HRS_LTG,0.6165848941298954,0.005091015300913255,0.001666281492130168,0.0036742051892482606,0.38037836682562803,0.23330009326209838,0.47542085982960636,0.052479886499505114,0.052479886499505114
,HRS_LTG,0.6289152787775643,0.003657222579369957,0.0009608152577404321,0.0014900053854015483,0.3018473431701097,0.13927754731892716,0.20183762851245116,0.053529372455073436,0.053529372455073436
,HRS_LTG,0.635149638769154,0.00433988625454616,0.001114717967113417,0.0017977624959713383,0.3368784082826794,0.15915982739712514,0.23911575705671068,0.05406000255624934,0.05406000255624934
,HRS_LTG,0.6373879615432132,0.005093132228181733,0.0015334399243627141,0.0028420217454875694,0.3726863831625489,0.21059204050663222,0.3632342844432892,0.05425051472456585,0.05425051472456585
