# Object	Reference	Metallicity	[O/H]	[C/H]
CS22186-023	I.U.Roederer+AJ1471362014	-2.89	-1.81	-2.83
CS22186-023	L.Zhang+AAP528A922011			-2.43
CS22186-023	N.Christlieb+AAP42810272004	-2.72		
CS22186-025	S.M.Andrievsky+AAP49410832009	-3		
CS22186-025	P.S.Barklem+AAP4391292005	-2.87		-3.6
CS22186-025	R.Cayrel+AAP41611172004	-3	-2.33	-3.53
CS22186-025	M.Spite+AAP4306552005	-3	-2.27	-3.45
CS22186-025	M.Spite+AAP541A1432012	-3		
CS22186-025	S.M.Andrievsky+AAP509A882010	-3		
CS22186-025	N.Christlieb+AAP42810272004	-2.77		
CS22186-025	P.Francois+AAP4769352007	-3		
CS22186-025	S.M.Andrievsky+AAP46410812007	-3		
CS22186-025	L.Zhang+AAP528A922011			-3.08
CS22186-025	M.Spite+AAP4552912006	-3		-3.45
CS22186-025	M.Spite+AAP528A92011	-3		
CS22186-025	S.M.Andrievsky+AAP4814812008	-3		
CS22872-102	I.U.Roederer+AJ1471362014	-2.82	-2.43	-2.2
CS22872-102	D.K.Lai+ApJ68115242008	-2.9		-2.18
CS22873-055	S.M.Andrievsky+AAP49410832009	-2.99		
CS22873-055	A.McWilliam+AJ10927571995	-2.9		-3.33
CS22873-055	R.Cayrel+AAP41611172004	-2.99	-2.39	-3.87
CS22873-055	M.Spite+AAP4306552005	-2.99	-2.33	-3.63
CS22873-055	A.McWilliam+AJ10927361995			
CS22873-055	M.Spite+AAP541A1432012	-2.99		
CS22873-055	S.M.Andrievsky+AAP509A882010	-2.99		
CS22873-055	P.Francois+AAP4769352007	-3		
CS22873-055	S.M.Andrievsky+AAP46410812007	-2.99		
CS22873-055	M.Spite+AAP4552912006	-2.99		-3.53
CS22873-055	M.Spite+AAP528A92011	-2.99		
CS22873-055	F.Spite+AAP611A302018	-3		
CS22873-055	S.M.Andrievsky+AAP4814812008	-2.99		
CS22874-042	G.W.Preston+AJ12010142000	-1.53		
CS22874-042	C.J.Hansen+AAP598542017	-1.9	-1.27	-1.78
CS22877-001	I.U.Roederer+AJ1471362014	-3.24	-2.09	-2.21
CS22877-001	I.U.Roederer+ApJ7841582014	-3.24	-2.09	-2.21
CS22877-001	W.Aoki+ApJ56711662002	-2.72		-1.6
CS22877-001	S.Giridhar+PASP1135192001	-2.8		-0.93
CS22877-011	A.McWilliam+AJ10927571995	-3		-2.83
CS22877-011	I.U.Roederer+AJ1471362014	-3.12	-2.29	-2.99
CS22877-011	A.McWilliam+AJ10927361995			
CS22877-011	K.A.Venn+AJ12811772004			
CS22878-101	A.McWilliam+AJ10927571995	-3.2		-3.3
